
######### Feature: workclass #########
People with workclass = Private (4578 samples) have scores: precision=0.71, recall=0.26, fbeta=0.38
People with workclass = State-gov (254 samples) have scores: precision=0.85, recall=0.30, fbeta=0.44
People with workclass = Self-emp-not-inc (498 samples) have scores: precision=0.81, recall=0.32, fbeta=0.46
People with workclass = Self-emp-inc (212 samples) have scores: precision=0.95, recall=0.32, fbeta=0.48
People with workclass = Federal-gov (191 samples) have scores: precision=0.68, recall=0.19, fbeta=0.29
People with workclass = Local-gov (387 samples) have scores: precision=0.61, recall=0.25, fbeta=0.35
People with workclass = ? (389 samples) have scores: precision=0.59, recall=0.24, fbeta=0.34
People with workclass = Without-pay (4 samples) have scores: precision=1.00, recall=1.00, fbeta=1.00

######### Feature: education #########
People with education = Some-college (1485 samples) have scores: precision=0.61, recall=0.23, fbeta=0.34
People with education = HS-grad (2085 samples) have scores: precision=0.60, recall=0.21, fbeta=0.31
People with education = Bachelors (1053 samples) have scores: precision=0.82, recall=0.29, fbeta=0.43
People with education = Masters (369 samples) have scores: precision=0.89, recall=0.30, fbeta=0.45
People with education = Assoc-acdm (198 samples) have scores: precision=0.93, recall=0.28, fbeta=0.43
People with education = 7th-8th (141 samples) have scores: precision=0.25, recall=0.17, fbeta=0.20
People with education = 11th (225 samples) have scores: precision=0.70, recall=0.64, fbeta=0.67
People with education = Assoc-voc (273 samples) have scores: precision=0.54, recall=0.24, fbeta=0.33
People with education = Prof-school (116 samples) have scores: precision=0.94, recall=0.35, fbeta=0.50
People with education = 9th (115 samples) have scores: precision=0.50, recall=0.33, fbeta=0.40
People with education = 5th-6th (62 samples) have scores: precision=0.50, recall=0.50, fbeta=0.50
People with education = 10th (183 samples) have scores: precision=0.57, recall=0.33, fbeta=0.42
People with education = Doctorate (77 samples) have scores: precision=1.00, recall=0.33, fbeta=0.50
People with education = 12th (98 samples) have scores: precision=0.25, recall=0.20, fbeta=0.22
People with education = 1st-4th (23 samples) have scores: precision=0.00, recall=1.00, fbeta=0.00
People with education = Preschool (10 samples) have scores: precision=1.00, recall=1.00, fbeta=1.00

######### Feature: marital-status #########
People with marital-status = Divorced (920 samples) have scores: precision=0.56, recall=0.37, fbeta=0.44
People with marital-status = Married-civ-spouse (2950 samples) have scores: precision=0.85, recall=0.25, fbeta=0.39
People with marital-status = Never-married (2126 samples) have scores: precision=0.40, recall=0.35, fbeta=0.37
People with marital-status = Separated (209 samples) have scores: precision=0.60, recall=0.47, fbeta=0.53
People with marital-status = Widowed (208 samples) have scores: precision=0.42, recall=0.26, fbeta=0.32
People with marital-status = Married-spouse-absent (96 samples) have scores: precision=0.50, recall=0.38, fbeta=0.43
People with marital-status = Married-AF-spouse (4 samples) have scores: precision=1.00, recall=0.00, fbeta=0.00

######### Feature: occupation #########
People with occupation = Adm-clerical (726 samples) have scores: precision=0.51, recall=0.22, fbeta=0.31
People with occupation = Exec-managerial (838 samples) have scores: precision=0.85, recall=0.29, fbeta=0.43
People with occupation = Machine-op-inspct (378 samples) have scores: precision=0.55, recall=0.23, fbeta=0.33
People with occupation = Craft-repair (821 samples) have scores: precision=0.68, recall=0.26, fbeta=0.38
People with occupation = Prof-specialty (828 samples) have scores: precision=0.86, recall=0.27, fbeta=0.41
People with occupation = Sales (729 samples) have scores: precision=0.78, recall=0.31, fbeta=0.45
